supplier_name,source_port,destination_port,distance_km,expected_transit_days
Energy Ltd 69,Dubai Port,Jeddah Port,17619,44
Energy Ltd 97,Santos Port,Rotterdam Port,1799,4
Energy Ltd 99,Jeddah Port,Santos Port,11098,27
Energy Ltd 77,Singapore Port,Santos Port,1736,4
Energy Ltd 71,Shanghai Port,Mumbai Port,14991,37
Energy Ltd 72,Jeddah Port,Singapore Port,9688,24
Energy Ltd 21,Jeddah Port,Santos Port,13898,34
Energy Ltd 29,Houston Port,Dubai Port,15335,38
Energy Ltd 81,Singapore Port,Shanghai Port,10408,26
Energy Ltd 37,Houston Port,Singapore Port,7660,19
Energy Ltd 9,Rotterdam Port,Mumbai Port,10989,27
Energy Ltd 15,Santos Port,Houston Port,16336,40
Energy Ltd 35,Santos Port,Mumbai Port,12006,30
Energy Ltd 3,Rotterdam Port,Dubai Port,2225,5
Energy Ltd 24,Mumbai Port,Singapore Port,10320,25
Energy Ltd 17,Santos Port,Shanghai Port,1768,4
Energy Ltd 30,Mumbai Port,Rotterdam Port,1982,4
Energy Ltd 64,Singapore Port,Rotterdam Port,15270,38
Energy Ltd 40,Santos Port,Rotterdam Port,16694,41
Energy Ltd 90,Dubai Port,Singapore Port,4128,10
Energy Ltd 97,Rotterdam Port,Dubai Port,10232,25
Energy Ltd 100,Jeddah Port,Dubai Port,16905,42
Energy Ltd 24,Singapore Port,Santos Port,9694,24
Energy Ltd 49,Dubai Port,Mumbai Port,9657,24
Energy Ltd 50,Santos Port,Mumbai Port,2598,6
Energy Ltd 26,Santos Port,Shanghai Port,4578,11
Energy Ltd 67,Singapore Port,Houston Port,14250,35
Energy Ltd 88,Houston Port,Rotterdam Port,6697,16
Energy Ltd 81,Dubai Port,Jeddah Port,5502,13
Energy Ltd 33,Santos Port,Shanghai Port,11291,28
Energy Ltd 26,Shanghai Port,Dubai Port,8636,21
Energy Ltd 15,Singapore Port,Jeddah Port,15726,39
Energy Ltd 42,Dubai Port,Rotterdam Port,10547,26
Energy Ltd 75,Mumbai Port,Houston Port,9465,23
Energy Ltd 2,Dubai Port,Shanghai Port,17073,42
Energy Ltd 89,Rotterdam Port,Singapore Port,4432,11
Energy Ltd 32,Rotterdam Port,Houston Port,4495,11
Energy Ltd 88,Shanghai Port,Santos Port,3467,8
Energy Ltd 8,Shanghai Port,Jeddah Port,6543,16
Energy Ltd 90,Mumbai Port,Rotterdam Port,17485,43
Energy Ltd 30,Shanghai Port,Houston Port,12880,32
Energy Ltd 57,Singapore Port,Dubai Port,13878,34
Energy Ltd 46,Rotterdam Port,Singapore Port,2793,6
Energy Ltd 63,Santos Port,Houston Port,11157,27
Energy Ltd 70,Santos Port,Mumbai Port,7615,19
Energy Ltd 70,Shanghai Port,Rotterdam Port,16848,42
Energy Ltd 36,Rotterdam Port,Dubai Port,6579,16
Energy Ltd 58,Houston Port,Santos Port,10129,25
Energy Ltd 70,Shanghai Port,Singapore Port,1523,3
Energy Ltd 100,Jeddah Port,Shanghai Port,7579,18
Energy Ltd 3,Shanghai Port,Santos Port,9324,23
Energy Ltd 42,Mumbai Port,Jeddah Port,14197,35
Energy Ltd 25,Santos Port,Jeddah Port,6550,16
Energy Ltd 79,Houston Port,Rotterdam Port,14928,37
Energy Ltd 83,Shanghai Port,Dubai Port,4654,11
Energy Ltd 67,Mumbai Port,Dubai Port,5752,14
Energy Ltd 23,Dubai Port,Rotterdam Port,5007,12
Energy Ltd 63,Singapore Port,Dubai Port,2542,6
Energy Ltd 74,Jeddah Port,Shanghai Port,17553,43
Energy Ltd 68,Houston Port,Dubai Port,13504,33
Energy Ltd 29,Mumbai Port,Dubai Port,8339,20
Energy Ltd 84,Santos Port,Jeddah Port,4120,10
Energy Ltd 60,Dubai Port,Singapore Port,15129,37
Energy Ltd 48,Dubai Port,Santos Port,10210,25
Energy Ltd 68,Dubai Port,Jeddah Port,3806,9
Energy Ltd 39,Mumbai Port,Rotterdam Port,4682,11
Energy Ltd 13,Singapore Port,Shanghai Port,14126,35
Energy Ltd 25,Singapore Port,Shanghai Port,9651,24
Energy Ltd 73,Rotterdam Port,Shanghai Port,15104,37
Energy Ltd 96,Mumbai Port,Santos Port,13229,33
Energy Ltd 87,Santos Port,Shanghai Port,15494,38
Energy Ltd 14,Rotterdam Port,Santos Port,7411,18
Energy Ltd 71,Jeddah Port,Houston Port,12559,31
Energy Ltd 85,Rotterdam Port,Shanghai Port,16016,40
Energy Ltd 46,Shanghai Port,Houston Port,12138,30
Energy Ltd 48,Jeddah Port,Santos Port,15609,39
Energy Ltd 93,Shanghai Port,Houston Port,9387,23
Energy Ltd 73,Singapore Port,Houston Port,9825,24
Energy Ltd 47,Santos Port,Singapore Port,14511,36
Energy Ltd 1,Dubai Port,Singapore Port,2034,5
Energy Ltd 67,Rotterdam Port,Singapore Port,1715,4
Energy Ltd 39,Singapore Port,Mumbai Port,11818,29
Energy Ltd 3,Houston Port,Shanghai Port,6569,16
Energy Ltd 13,Dubai Port,Houston Port,13154,32
Energy Ltd 20,Rotterdam Port,Singapore Port,13528,33
Energy Ltd 75,Singapore Port,Mumbai Port,9896,24
Energy Ltd 39,Mumbai Port,Shanghai Port,14600,36
Energy Ltd 73,Singapore Port,Jeddah Port,4029,10
Energy Ltd 93,Shanghai Port,Santos Port,17311,43
Energy Ltd 23,Santos Port,Jeddah Port,4624,11
Energy Ltd 77,Houston Port,Dubai Port,14002,35
Energy Ltd 11,Dubai Port,Santos Port,12457,31
Energy Ltd 45,Jeddah Port,Singapore Port,5449,13
Energy Ltd 99,Singapore Port,Jeddah Port,1874,4
Energy Ltd 82,Jeddah Port,Dubai Port,11487,28
Energy Ltd 68,Dubai Port,Singapore Port,6401,16
Energy Ltd 42,Singapore Port,Mumbai Port,3155,7
Energy Ltd 87,Jeddah Port,Singapore Port,4451,11
Energy Ltd 29,Jeddah Port,Rotterdam Port,14421,36
Energy Ltd 19,Rotterdam Port,Singapore Port,4204,10
Energy Ltd 61,Dubai Port,Shanghai Port,14580,36
Energy Ltd 34,Mumbai Port,Houston Port,17943,44
Energy Ltd 56,Rotterdam Port,Santos Port,5919,14
Energy Ltd 62,Singapore Port,Houston Port,14453,36
Energy Ltd 84,Singapore Port,Shanghai Port,9568,23
Energy Ltd 32,Mumbai Port,Singapore Port,15592,38
Energy Ltd 42,Mumbai Port,Dubai Port,15052,37
Energy Ltd 55,Shanghai Port,Rotterdam Port,7741,19
Energy Ltd 42,Shanghai Port,Houston Port,2293,5
Energy Ltd 99,Houston Port,Mumbai Port,12959,32
Energy Ltd 79,Santos Port,Houston Port,6278,15
Energy Ltd 57,Dubai Port,Santos Port,9150,22
Energy Ltd 26,Shanghai Port,Mumbai Port,4311,10
Energy Ltd 15,Dubai Port,Rotterdam Port,6339,15
Energy Ltd 37,Dubai Port,Singapore Port,5146,12
Energy Ltd 40,Santos Port,Singapore Port,2245,5
Energy Ltd 43,Singapore Port,Jeddah Port,8442,21
Energy Ltd 27,Houston Port,Shanghai Port,17327,43
Energy Ltd 80,Rotterdam Port,Jeddah Port,2102,5
Energy Ltd 49,Dubai Port,Singapore Port,7081,17
Energy Ltd 8,Houston Port,Mumbai Port,10389,25
Energy Ltd 7,Santos Port,Shanghai Port,1773,4
Energy Ltd 9,Jeddah Port,Shanghai Port,10390,25
Energy Ltd 85,Shanghai Port,Santos Port,5035,12
Energy Ltd 3,Houston Port,Santos Port,14165,35
Energy Ltd 30,Jeddah Port,Houston Port,4763,11
Energy Ltd 41,Santos Port,Jeddah Port,4384,10
Energy Ltd 24,Singapore Port,Shanghai Port,16507,41
Energy Ltd 72,Dubai Port,Mumbai Port,9606,24
Energy Ltd 68,Houston Port,Rotterdam Port,17554,43
Energy Ltd 51,Rotterdam Port,Dubai Port,12863,32
Energy Ltd 88,Shanghai Port,Rotterdam Port,11406,28
Energy Ltd 31,Houston Port,Santos Port,3531,8
Energy Ltd 81,Houston Port,Singapore Port,2465,6
Energy Ltd 72,Houston Port,Mumbai Port,6471,16
Energy Ltd 44,Jeddah Port,Shanghai Port,5997,14
Energy Ltd 12,Jeddah Port,Houston Port,8952,22
Energy Ltd 54,Singapore Port,Shanghai Port,6505,16
Energy Ltd 55,Houston Port,Shanghai Port,12290,30
Energy Ltd 58,Rotterdam Port,Mumbai Port,6040,15
Energy Ltd 75,Singapore Port,Santos Port,6025,15
Energy Ltd 40,Rotterdam Port,Houston Port,6256,15
Energy Ltd 84,Rotterdam Port,Singapore Port,3722,9
Energy Ltd 72,Mumbai Port,Rotterdam Port,11907,29
Energy Ltd 19,Dubai Port,Santos Port,11942,29
Energy Ltd 53,Jeddah Port,Rotterdam Port,16016,40
Energy Ltd 96,Houston Port,Mumbai Port,7658,19
Energy Ltd 14,Rotterdam Port,Mumbai Port,2358,5
Energy Ltd 98,Houston Port,Shanghai Port,9066,22
Energy Ltd 77,Singapore Port,Mumbai Port,2354,5
Energy Ltd 46,Mumbai Port,Jeddah Port,17117,42
Energy Ltd 18,Santos Port,Shanghai Port,13753,34
Energy Ltd 24,Jeddah Port,Singapore Port,17027,42
Energy Ltd 18,Rotterdam Port,Mumbai Port,8914,22
Energy Ltd 5,Jeddah Port,Santos Port,1991,4
Energy Ltd 35,Jeddah Port,Mumbai Port,8146,20
Energy Ltd 97,Singapore Port,Dubai Port,7302,18
Energy Ltd 57,Santos Port,Shanghai Port,12146,30
Energy Ltd 59,Singapore Port,Houston Port,14766,36
Energy Ltd 100,Dubai Port,Shanghai Port,13964,34
Energy Ltd 93,Shanghai Port,Singapore Port,2761,6
Energy Ltd 67,Mumbai Port,Houston Port,16471,41
Energy Ltd 6,Singapore Port,Shanghai Port,14463,36
Energy Ltd 95,Dubai Port,Shanghai Port,14194,35
Energy Ltd 67,Dubai Port,Rotterdam Port,11041,27
Energy Ltd 57,Jeddah Port,Rotterdam Port,10868,27
Energy Ltd 60,Rotterdam Port,Houston Port,11147,27
Energy Ltd 79,Dubai Port,Jeddah Port,6160,15
Energy Ltd 60,Santos Port,Dubai Port,17905,44
Energy Ltd 15,Rotterdam Port,Santos Port,5933,14
Energy Ltd 51,Jeddah Port,Rotterdam Port,16274,40
Energy Ltd 4,Rotterdam Port,Houston Port,8116,20
Energy Ltd 59,Mumbai Port,Singapore Port,12119,30
Energy Ltd 89,Rotterdam Port,Jeddah Port,5548,13
Energy Ltd 12,Mumbai Port,Jeddah Port,16225,40
Energy Ltd 82,Shanghai Port,Dubai Port,14085,35
Energy Ltd 94,Rotterdam Port,Houston Port,13971,34
Energy Ltd 6,Rotterdam Port,Singapore Port,6418,16
Energy Ltd 21,Rotterdam Port,Mumbai Port,3181,7
Energy Ltd 54,Houston Port,Rotterdam Port,16122,40
Energy Ltd 37,Rotterdam Port,Dubai Port,5811,14
Energy Ltd 26,Dubai Port,Shanghai Port,9793,24
Energy Ltd 2,Santos Port,Singapore Port,17839,44
Energy Ltd 70,Dubai Port,Shanghai Port,17669,44
Energy Ltd 31,Singapore Port,Shanghai Port,17088,42
Energy Ltd 59,Jeddah Port,Singapore Port,4101,10
Energy Ltd 77,Dubai Port,Rotterdam Port,10613,26
Energy Ltd 80,Singapore Port,Dubai Port,7556,18
Energy Ltd 19,Dubai Port,Jeddah Port,12936,32
Energy Ltd 5,Rotterdam Port,Santos Port,2562,6
Energy Ltd 86,Houston Port,Rotterdam Port,4373,10
Energy Ltd 7,Mumbai Port,Houston Port,7340,18
Energy Ltd 21,Houston Port,Shanghai Port,7313,18
Energy Ltd 59,Shanghai Port,Dubai Port,4551,11
Energy Ltd 99,Houston Port,Rotterdam Port,13577,33
Energy Ltd 49,Mumbai Port,Santos Port,15502,38
Energy Ltd 71,Mumbai Port,Singapore Port,16927,42
Energy Ltd 18,Mumbai Port,Jeddah Port,10492,26
Energy Ltd 43,Jeddah Port,Houston Port,8376,20
Energy Ltd 90,Singapore Port,Shanghai Port,3406,8
Energy Ltd 14,Mumbai Port,Houston Port,10910,27
Energy Ltd 55,Shanghai Port,Rotterdam Port,13095,32
Energy Ltd 17,Santos Port,Houston Port,17809,44
Energy Ltd 64,Rotterdam Port,Shanghai Port,9125,22
Energy Ltd 91,Houston Port,Mumbai Port,1551,3
Energy Ltd 16,Dubai Port,Houston Port,5364,13
