Scenario ID,Route,Shipping Cost,Insurance Cost,Fuel Cost,Total Cost
1,Global Routes,922.78,66.88,368.74,1358.39
2,Malacca Strait,1194.29,164.11,583.2,1941.59
3,North Sea Route,1006.44,220.16,400.04,1626.64
4,Arabian Sea Route,1062.21,257.4,551.37,1870.98
5,Jebel Ali Route,785.82,138.42,410.12,1334.36
6,North Sea Route,957.19,51.05,343.09,1351.32
7,Suez Canal,1234.66,129.06,641.36,2005.08
8,Global Routes,620.97,95.86,198.95,915.78
9,Persian Gulf,353.72,85.4,200.57,639.69
10,Bab-el-Mandeb,1013.19,143.8,509.36,1666.34
11,Global Routes,966.05,158.15,306.97,1431.17
12,Arabian Sea Route,985.92,200.92,589.8,1776.64
13,Arabian Sea Route,115.51,22.64,54.47,192.62
14,Jebel Ali Route,707.67,53.44,299.15,1060.26
15,Suez Canal,596.13,65.91,309.55,971.59
16,Malacca Strait,1081.02,181.4,628.72,1891.13
17,Jebel Ali Route,589.8,58.25,292.99,941.04
18,Jebel Ali Route,378.34,42.75,138.99,560.09
19,Bab-el-Mandeb,196.81,42.41,74.07,313.3
20,Indian Ocean Route,762.24,44.72,388.59,1195.54
21,Suez Canal,562.79,111.96,238.46,913.21
22,North Sea Route,374.06,57.09,126.86,558.01
23,Jebel Ali Route,716.75,81.32,411.12,1209.2
24,Pipeline Networks,185.3,34.99,65.75,286.03
25,Global Routes,546.66,72.76,312.91,932.34
26,Indian Ocean Route,439.61,30.01,173.91,643.53
27,North Sea Route,246.55,18.67,116.41,381.62
28,Pipeline Networks,185.26,10.41,95.29,290.96
29,Suez Canal,606.31,45.52,228.02,879.85
30,Strait of Hormuz,998.92,104.99,447.87,1551.79
31,Pipeline Networks,270.37,45.32,106.75,422.44
32,Persian Gulf,977.76,206.97,472.74,1657.47
33,Indian Ocean Route,514.05,52.0,204.71,770.75
34,North Sea Route,330.47,28.5,177.53,536.5
35,Pipeline Networks,638.63,87.62,305.4,1031.64
36,Transatlantic Route,925.51,58.75,508.54,1492.8
37,Strait of Hormuz,348.26,67.78,185.2,601.24
38,Arabian Sea Route,1100.86,182.52,335.08,1618.46
39,Arabian Sea Route,604.53,103.35,251.62,959.51
40,Persian Gulf,1308.87,146.28,507.92,1963.07
41,Pipeline Networks,472.4,55.06,220.71,748.17
42,Pipeline Networks,1089.82,198.91,591.03,1879.76
43,Global Routes,1340.28,285.77,409.7,2035.75
44,Global Routes,1130.29,103.62,384.16,1618.07
45,Global Routes,993.88,113.25,315.2,1422.33
46,Bab-el-Mandeb,292.68,14.69,167.11,474.48
47,Pipeline Networks,134.47,12.36,57.13,203.95
48,Global Routes,599.2,139.22,187.0,925.42
49,Malacca Strait,817.1,152.06,473.52,1442.68
50,Transatlantic Route,968.52,204.12,314.88,1487.52
51,Bab-el-Mandeb,640.32,79.9,362.35,1082.57
52,Suez Canal,311.92,25.07,124.32,461.31
53,Bab-el-Mandeb,176.25,15.24,103.91,295.41
54,Global Routes,699.46,123.39,362.2,1185.05
55,Suez Canal,613.75,48.76,222.16,884.67
56,Transatlantic Route,538.57,95.44,225.92,859.94
57,Global Routes,109.54,16.94,63.15,189.63
58,North Sea Route,1236.91,265.99,666.1,2168.99
59,Malacca Strait,553.22,112.33,189.73,855.28
60,Transatlantic Route,1020.8,182.02,314.07,1516.9
61,Pipeline Networks,1203.16,277.51,457.47,1938.14
62,Global Routes,1237.35,82.26,593.91,1913.52
63,North Sea Route,779.91,124.15,450.68,1354.73
64,Persian Gulf,1319.84,273.23,504.32,2097.39
65,Transatlantic Route,1376.55,95.67,765.36,2237.58
66,Persian Gulf,559.42,33.99,280.16,873.58
67,Suez Canal,423.79,41.83,166.05,631.67
68,North Sea Route,189.16,16.16,57.04,262.36
69,Malacca Strait,723.57,48.37,365.26,1137.2
70,Pipeline Networks,429.87,102.62,241.32,773.81
71,Pipeline Networks,505.22,104.4,273.31,882.93
72,Global Routes,1481.19,251.16,480.78,2213.13
73,Pipeline Networks,1005.57,175.97,494.24,1675.79
74,North Sea Route,530.0,117.63,311.56,959.19
75,Jebel Ali Route,404.8,27.38,145.06,577.24
76,Bab-el-Mandeb,1248.77,231.43,612.92,2093.12
77,Global Routes,662.51,109.69,259.94,1032.14
78,Strait of Hormuz,768.08,160.23,456.53,1384.84
79,Malacca Strait,1405.48,332.78,591.24,2329.51
80,North Sea Route,756.31,144.55,436.13,1336.99
81,Jebel Ali Route,298.79,33.12,102.12,434.03
82,Malacca Strait,956.81,106.46,380.65,1443.92
83,North Sea Route,199.28,23.91,111.35,334.54
84,Global Routes,426.3,80.59,208.41,715.3
85,Indian Ocean Route,1308.88,100.07,776.53,2185.48
86,Indian Ocean Route,915.68,228.09,525.1,1668.87
87,Persian Gulf,410.12,25.11,154.49,589.73
88,Malacca Strait,838.59,70.71,293.71,1203.0
89,Indian Ocean Route,747.63,42.36,251.63,1041.61
90,North Sea Route,682.21,42.72,285.86,1010.79
91,North Sea Route,763.61,107.1,428.2,1298.9
92,Persian Gulf,842.09,120.92,356.38,1319.39
93,Pipeline Networks,1244.67,285.04,692.0,2221.72
94,North Sea Route,1042.97,80.8,399.52,1523.29
95,Persian Gulf,164.49,38.85,81.95,285.29
96,Global Routes,1144.91,128.59,633.93,1907.43
97,Malacca Strait,463.44,23.32,191.37,678.14
98,Global Routes,899.07,131.03,502.24,1532.34
99,Jebel Ali Route,247.57,39.8,112.37,399.74
100,Global Routes,493.95,105.93,259.75,859.62
101,Global Routes,1126.0,253.62,581.96,1961.58
102,Pipeline Networks,424.58,81.14,166.57,672.29
103,Transatlantic Route,439.04,28.36,229.71,697.12
104,Global Routes,1095.4,106.14,574.88,1776.43
105,Jebel Ali Route,1384.98,99.17,512.15,1996.3
106,Suez Canal,1150.37,120.67,560.69,1831.73
107,North Sea Route,213.63,30.0,111.46,355.09
108,North Sea Route,1061.12,226.03,597.66,1884.81
109,Suez Canal,1182.46,217.95,365.99,1766.39
110,Jebel Ali Route,848.95,48.85,460.49,1358.29
111,Persian Gulf,549.01,89.21,210.73,848.95
112,Transatlantic Route,1195.5,271.74,501.62,1968.86
113,Pipeline Networks,1308.09,135.28,602.24,2045.61
114,Pipeline Networks,1302.27,149.99,763.4,2215.66
115,Pipeline Networks,270.63,14.52,154.6,439.75
116,North Sea Route,196.11,48.71,114.81,359.62
117,Transatlantic Route,291.83,45.97,103.74,441.54
118,North Sea Route,699.42,43.56,256.81,999.79
119,North Sea Route,608.58,83.82,361.04,1053.44
120,Strait of Hormuz,1231.01,243.1,567.63,2041.75
121,Transatlantic Route,1276.0,150.39,654.16,2080.56
122,Global Routes,1491.3,168.41,748.94,2408.64
123,Transatlantic Route,1282.04,298.92,660.74,2241.7
124,Jebel Ali Route,497.05,57.29,152.21,706.55
125,Strait of Hormuz,1165.24,68.22,651.83,1885.29
126,Pipeline Networks,266.12,22.45,117.88,406.46
127,Jebel Ali Route,1133.03,88.15,489.49,1710.68
128,Jebel Ali Route,775.99,71.75,259.7,1107.44
129,Arabian Sea Route,1270.99,191.28,386.78,1849.04
